H_1280x720_dim_far,H_1280x720_dim_near,H_1920x1080_dim_far,H_1920x1080_dim_near,L_1280x720_dim_far,L_1280x720_dim_near,L_1920x1080_dim_far,L_1920x1080_dim_near,L_3840x2160_dim_far,L_3840x2160_dim_near,M_1280x720_dim_far,M_1280x720_dim_near,M_1920x1080_dim_far,M_1920x1080_dim_near,M_3840x2160_dim_far,M_3840x2160_dim_near
8.78762924076413,8.13976773813701,9.26902263075695,9.08577990547982,4.70290666539353,3.69683962071347,6.82314088457291,5.73040673590331,8.69002653517058,7.52331219095236,7.46463306568375,6.4248448536045,8.68342768863627,7.82690959122042,10.079885582725,9.69204347311073
8.65291785737267,8.40798202794941,9.22979003521752,9.36574462356841,4.66390882638839,4.31520929054586,6.84615230044723,5.67393050089756,8.48448663042349,7.70420304922438,7.50599020477159,6.26350114350361,8.57785691306133,8.12014344004035,9.67978443454363,9.42774471928743
8.60578015287599,8.15626196218379,9.20876482598405,9.09745710374555,5.0217329953196,4.35225899743732,6.87643514641288,5.9434116644446,8.36402769629661,7.41333796917504,7.41833026194455,6.90078444321496,8.8160224522317,7.84229141869687,9.89853834613283,9.01332117120013
8.62010847708459,7.92466213313161,9.58110843999391,9.4306101936012,4.76295600915497,3.90217324151355,6.87247210803735,5.83691374673795,8.66639677344226,7.59765556620723,7.3296095047377,6.27903375769537,8.56166398836305,8.09283172183405,9.87825187107706,9.36209449345906
8.79764738024898,8.21564140145466,9.59998958636047,9.15741769497455,5.12190105033929,3.69831996254101,6.85352523103896,5.63742449785807,8.45589885488827,7.31744220894558,7.68579312564985,6.47438769135774,8.66615663973969,7.75945976963776,9.58935358513882,9.56228937098905
8.70530882185746,8.03316096593976,9.93304932707443,8.99409489349713,5.78798634166358,4.0678433494028,6.83001314067071,5.51339115903228,8.58686860167297,7.08222660350355,7.34006549998214,6.13878609322522,9.23375240354005,7.47511092190763,9.72928349185802,9.02573257926996
8.970981353194,8.07945271129612,10.0299308091274,9.33262078741831,5.11408281216321,3.00517041040894,6.79961275476246,5.43828459858327,8.71258674273862,7.30198092852375,7.23534614132863,5.69980670411646,9.35303245223652,7.67866913169125,9.88282425875289,9.5834514886237
8.87743825778241,8.17822631556404,9.5792368676213,9.1997093070416,5.1251632661264,4.07311068051788,6.57591065640796,5.89396174658584,8.32592695874691,7.4016516747764,7.70680044237367,6.20850085830872,8.74980891267168,7.71874023479468,9.64402201748082,9.27208584212246
8.785651788075,8.12040403706112,9.80968202260143,9.2086529745631,5.47303782260416,4.01089573642681,6.52801252902528,5.69593446932067,8.58406223233118,7.25881872739119,7.48230014974706,6.07410767239584,8.85236247755917,7.83576064996931,9.48177989385696,9.33750606012206
8.81337676476543,8.13088694353563,9.47483997270836,9.28218268847886,4.93171677689797,3.89836310047941,6.75319542883347,5.53905113195674,8.48024661940893,7.22686233286334,7.87941586395309,6.39652151661324,8.99681042434852,7.87789033692764,9.61808013631453,9.38393405423887
9.19291578478912,8.07565867712317,9.80960071607784,9.43388670227655,5.10228399448228,4.00626852372839,6.49251274094109,5.48539336916701,8.8455317781607,7.09130979400706,7.54974901682041,6.08148512140729,8.76705114567338,7.52534887603181,9.88384840665219,8.8075434203793
